target,model,accuracy,f1_weighted,precision_weighted,recall_weighted
x_wins,x_wins_DecisionTree,0.7731958762886598,0.7761978743964912,0.7798900379560313,0.7731958762886598
x_wins,x_wins_RandomForest,0.8742268041237113,0.8589658756237966,0.8868281338814634,0.8742268041237113
x_wins,x_wins_MLP,0.9278350515463918,0.9273055424295594,0.9270343237982137,0.9278350515463918
is_draw,is_draw_DecisionTree,0.843298969072165,0.8459080525055801,0.8490737550685077,0.843298969072165
is_draw,is_draw_RandomForest,0.8865979381443299,0.8691082083194713,0.8882748098865776,0.8865979381443299
is_draw,is_draw_MLP,0.9237113402061856,0.9228347093600527,0.922262553831266,0.9237113402061856
